"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 31 18:07:38 IST 2021","Wed Mar 31 18:07:41 IST 2021","3075","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#layer_cart > div.clearfix  div.button-container > a""","When I click on the button ""#layer_cart > div.clearfix  div.button-container > a""",""
"passed","Wed Mar 31 18:07:44 IST 2021","Wed Mar 31 18:07:44 IST 2021","73","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#address_delivery > li.address_title > h3"" contains the text ""YOUR DELIVERY ADDRESS""","Then I expect that element ""#address_delivery > li.address_title > h3"" contains the text ""YOUR DELIVERY ADDRESS""",""
"passed","Wed Mar 31 18:07:24 IST 2021","Wed Mar 31 18:07:24 IST 2021","100","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#account-creation_form > div:nth-child(1) > h3"" contains the text ""YOUR PERSONAL INFORMATION""","Then I expect that element ""#account-creation_form > div:nth-child(1) > h3"" contains the text ""YOUR PERSONAL INFORMATION""",""
"skipped","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","1","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#total_price"" contains the text ""$18.51""","Then I expect that element ""#total_price"" contains the text ""$18.51""",""
"passed","Wed Mar 31 18:07:18 IST 2021","Wed Mar 31 18:07:21 IST 2021","3506","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the element ""a.login""","When I click on the element ""a.login""",""
"passed","Wed Mar 31 18:07:26 IST 2021","Wed Mar 31 18:07:26 IST 2021","80","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I select the 1st option for element ""#id_country""","And I select the 1st option for element ""#id_country""",""
"passed","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","2","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Hook","Hook",""
"skipped","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","1","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","Then I expect that element ""#product_1_1_0_472848 > td.cart_description > p > a"" contains the text ""Faded Short Sleeve T-shirts""","Then I expect that element ""#product_1_1_0_472848 > td.cart_description > p > a"" contains the text ""Faded Short Sleeve T-shirts""",""
"passed","Wed Mar 31 18:07:25 IST 2021","Wed Mar 31 18:07:25 IST 2021","97","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I select the 1st option for element ""#months""","And I select the 1st option for element ""#months""",""
"passed","Wed Mar 31 18:07:44 IST 2021","Wed Mar 31 18:07:47 IST 2021","2924","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#center_column > form > p > button > span""","When I click on the button ""#center_column > form > p > button > span""",""
"passed","Wed Mar 31 18:07:24 IST 2021","Wed Mar 31 18:07:25 IST 2021","185","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","And I set ""Kumar"" to the inputfield ""#customer_lastname""","And I set ""Kumar"" to the inputfield ""#customer_lastname""",""
"broken","Wed Mar 31 18:07:47 IST 2021","Wed Mar 31 18:07:47 IST 2021","192","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the element ""#cgv""","When I click on the element ""#cgv""",""
"passed","Wed Mar 31 18:07:30 IST 2021","Wed Mar 31 18:07:34 IST 2021","3837","","Register and Checkout product: Register and checkout product","","Register and Checkout product: Register and checkout product","When I click on the button ""#block_top_menu > ul > li:nth-child(1) > a""","When I click on the button ""#block_top_menu > ul > li:nth-child(1) > a""",""
